wavelength,flux,e_flux
6825.475204,0.9151251,0.9151251
6832.305,0.9223552,0.9223552
6839.134796,0.9318975,0.9318975
6845.975314,0.9402026,0.9402026
6852.826556,0.9452547,0.9452547
6859.667074,0.9540865,0.9540865
6866.529574,0.9609849,0.9609849
6873.403333,0.9705052,0.9705052
6880.276556,0.9781122,0.9781122
6887.161037,0.9710703,0.9710703
6894.045519,0.9727226,0.9727226
6900.940723,0.9757141,0.9757141
6907.836463,0.9778153,0.9778153
6914.742926,0.9717830,0.9717830
6921.660111,0.9680374,0.9680374
6928.588556,0.9670399,0.9670399
6935.517,0.9676844,0.9676844
6942.445444,0.9720302,0.9720302
6949.39587,0.9707233,0.9707233
6956.346296,0.9710339,0.9710339
6963.296186,0.9736321,0.9736321
6970.25787,0.9779898,0.9779898
6977.230277,0.9767665,0.9767665
6984.213407,0.9798716,0.9798716
6991.196537,0.9828236,0.9828236
6998.179667,0.9848523,0.9848523
7005.185314,0.9908568,0.9908568
7012.190426,0.9936603,0.9936603
7019.206796,0.9969405,0.9969405
7026.22263,1.0043617,1.0043617
7033.249723,1.0056080,1.0056080
7040.288074,1.0061870,1.0061870
7047.315167,1.0042892,1.0042892
7054.364777,1.0058354,1.0058354
7061.424574,1.0042400,1.0042400
7068.484907,1.0041682,1.0041682
7075.555963,1.0040221,1.0040221
7082.627019,1.0003886,1.0003886
7089.720056,1.0023872,1.0023872
7096.80237,1.0012800,1.0012800
7103.895407,1.0010903,1.0010903
7111.010426,0.9944846,0.9944846
7118.114186,0.9941604,0.9941604
7125.229204,0.9879347,0.9879347
7132.355481,0.9847882,0.9847882
7139.492481,0.9848533,0.9848533
