wavelength,flux
6030,1.412e-17
6033,1.602e-17
6035,1.064e-17
6038,9.309e-18
6040,1.087e-17
6042,1.647e-17
6045,1.294e-17
6047,1.461e-17
6050,8.276e-18
6052,1.411e-17
6055,1.811e-17
6057,2.096e-17
6059,2.13e-17
6062,1.866e-17
6064,1.469e-17
6067,8.746e-18
6069,1.099e-17
6072,1.713e-17
6074,1.759e-17
6076,2.015e-17
6079,1.733e-17
6081,1.142e-17
6084,1.355e-17
6086,1.595e-17
6089,1.138e-17
6091,1.242e-17
6093,1.401e-17
6096,2.134e-17
6098,1.934e-17
6101,1.814e-17
6103,1.933e-17
6106,1.724e-17
6108,1.378e-17
6110,1.408e-17
6113,1.764e-17
6115,1.547e-17
6118,1.958e-17
6120,1.651e-17
6123,1.357e-17
6125,1.638e-17
6127,1.469e-17
6130,1.277e-17
6132,2.061e-17
6135,1.904e-17
6137,2.002e-17
6140,1.903e-17
6142,1.71e-17
6144,1.819e-17
6147,2.484e-17
6149,1.578e-17
6152,2.297e-17
6154,1.693e-17
6157,1.485e-17
6159,1.813e-17
6161,1.998e-17
6164,1.921e-17
6166,1.559e-17
6169,2.162e-17
6171,1.875e-17
6174,1.375e-17
6176,1.734e-17
6178,1.998e-17
6181,2.022e-17
6183,1.467e-17
6186,1.99e-17
6188,1.407e-17
6191,1.478e-17
6193,1.656e-17
6196,1.039e-17
6198,1.665e-17
6200,1.431e-17
6203,1.702e-17
6205,1.853e-17
6208,1.401e-17
6210,1.662e-17
6213,1.638e-17
6215,1.597e-17
6217,1.951e-17
6220,1.209e-17
6222,1.664e-17
6225,1.579e-17
6227,1.53e-17
6230,1.844e-17
6232,1.081e-17
6234,1.406e-17
6237,1.985e-17
6239,1.452e-17
6242,1.471e-17
6244,1.982e-17
6247,1.554e-17
6249,1.906e-17
6251,1.442e-17
6254,1.48e-17
6256,1.465e-17
6259,1.159e-17
6261,1.006e-17
6264,1.424e-17
6266,1.162e-17
6268,1.827e-17
6271,1.095e-17
6273,1.431e-17
6276,1.408e-17
6278,1.626e-17
6281,8.551e-18
6283,1.346e-17
6285,1.323e-17
6288,1.224e-17
6290,1.872e-17
6293,1.404e-17
6295,9.808e-18
6298,1.832e-17
6300,1.386e-17
6302,1.748e-17
6305,1.42e-17
6307,1.59e-17
6310,1.741e-17
6315,1.299e-17
6317,1.51e-17
6319,2.124e-17
6322,2.359e-17
6324,1.69e-17
6327,1.034e-17
6329,1.324e-17
6332,1.357e-17
6334,8.136e-18
6336,1.524e-17
6339,1.61e-17
6341,1.833e-17
6344,1.775e-17
6346,1.156e-17
6349,1.555e-17
6351,1.19e-17
6353,1.467e-17
6356,1.148e-17
6358,1.219e-17
6361,1.572e-17
6363,1.18e-17
6366,2.024e-17
6368,1.232e-17
6370,1.154e-17
6373,1.698e-17
6375,1.337e-17
6378,1.754e-17
6380,1.15e-17
6383,1.442e-17
6385,2.405e-17
6387,8.416e-18
6390,1.668e-17
6392,1.174e-17
6395,1.559e-17
6397,1.529e-17
6400,1.025e-17
6402,1.434e-17
6405,8.394e-18
6407,1.525e-17
6409,1.368e-17
6412,1.946e-17
6414,1.648e-17
6417,1.791e-17
6419,1.329e-17
